cohort_name,estimate,value,diagnostics,source
hypertension,Clinical description,"Hypertension is primarily essential, meaning it has no identifiable underlying cause, though a combination of genetic and lifestyle factors contribute. Secondary hypertension, where a specific underlying condition (e.g., kidney disease, endocrine disorders) causes the elevated blood pressure, accounts for a smaller proportion of cases.",cohort_count,gemini-2.5-flash
hypertension,Frequency,"Hypertension is very frequently seen, affecting a significant portion of the adult population globally. It is readily identifiable in various real-world healthcare datasets.",cohort_count,gemini-2.5-flash
hypertension,Median age of incident cases,"50 to 65 (Individuals typically present with hypertension in middle to older age, though it can occur earlier.)",cohort_characteristics,gemini-2.5-flash
hypertension,Percentage male,"45% to 55% (The prevalence of hypertension is generally similar between males and females, with some variations across age groups.)",cohort_characteristics,gemini-2.5-flash
hypertension,Survival at five years,"85% to 95% (While hypertension is a chronic condition, treated individuals typically have high five-year survival, though long-term complications can reduce it.)",cohort_survival,gemini-2.5-flash
hypertension,Cohort overlap,"Type 2 diabetes: 20-40%, Hospitalised inpatient: 30-60%, User of warfarin: 10-20%, User of acetaminophen: 60-80%, User of morphine: 5-15%, Measurement of prostate specific antigen level: 40-60%",compare_cohorts,gemini-2.5-flash
hypertension,Cohort timing,Hypertension diagnosis often precedes Type 2 diabetes by a few years; typically predates warfarin use by many years; can precede hospitalisation by many years or be diagnosed concurrently; can be concurrent with acetaminophen use; typically precedes morphine use; typically precedes or is concurrent with prostate specific antigen level measurement.,compare_cohorts,gemini-2.5-flash
hypertension,Frequently seen comorbidities,"Type 2 diabetes, Dyslipidaemia, Coronary artery disease, Stroke, Chronic kidney disease, Obesity, Atrial fibrillation, Heart failure, Peripheral artery disease, Obstructive sleep apnoea (These comorbidities are frequently seen because they share common risk factors with hypertension and can both contribute to its development and be consequences of prolonged elevated blood pressure.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
hypertension,Frequently seen signs and symptoms,"Headache, Dizziness, Blurred vision, Epistaxis, Tinnitus, Chest pain, Dyspnoea, Palpitations, Fatigue, Facial flushing (Hypertension is often asymptomatic, and when signs or symptoms are present, they typically indicate severe elevation in blood pressure or the development of end-organ damage.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
hypertension,Frequently seen medications,"Ramipril, Valsartan, Amlodipine, Hydrochlorothiazide, Bisoprolol, Lisinopril, Losartan, Indapamide, Metoprolol, Furosemide (These medications are commonly prescribed as they form the first-line and subsequent treatment options for controlling blood pressure, targeting various physiological pathways.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
user_of_warfarin,Clinical description,"Warfarin is an anticoagulant medication that inhibits the synthesis of vitamin K-dependent clotting factors in the liver. It is prescribed to prevent and treat thromboembolic events such as deep vein thrombosis, pulmonary embolism, stroke in atrial fibrillation, and systemic embolism with mechanical heart valves.",cohort_count,gemini-2.5-flash
user_of_warfarin,Frequency,"Warfarin use is frequently seen, especially in older populations, and cases can be readily identified in primary care, hospital, and insurance claim real-world health care data.",cohort_count,gemini-2.5-flash
user_of_warfarin,Median age of incident cases,"65 to 79 (Individuals typically present in their later adult years, often due to age-related cardiovascular conditions requiring anticoagulation.)",cohort_characteristics,gemini-2.5-flash
user_of_warfarin,Percentage male,"45% to 55% (The proportion of males and females using warfarin is relatively balanced, though it may vary slightly depending on the underlying indication.)",cohort_characteristics,gemini-2.5-flash
user_of_warfarin,Survival at five years,50% to 80% (The 5-year survival among warfarin users varies widely depending on the severity of the underlying conditions for which it is prescribed.),cohort_survival,gemini-2.5-flash
